coding	meaning
Y2d01	SARS-CoV-2 First Vaccination offered
Y2d03	ORBIT-AF (Outcomes Registry for Better Informed Treatment of Atrial Fibrillation) bleeding risk score
Y2d04	Administration of first dose of vaccine product containing only Human alphaherpesvirus 3 antigen for shingles
Y2d55	COVID-19
Y2d56	Blood test
Y2d5b	Peak expiratory flow measurement
Y2d5c	Provision of support for self-management
Y2d5e	Referral to community service
Y2d5f	Dyspnoea caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
Y2d60	Fever caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
Y2d61	Lower respiratory infection caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
Y2d63	Pneumonia caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
Y2de2	MRI of brain
Y2df8	Transcatheter aortic valve replacement
Y2e63	Referral to weight management service
Y2eae	Insertion of midline cannula (procedure)
Y2eb5	COVID-19 Vaccine Novavax (adj) 5mcg/0.5ml dose susp for inj multidose vials (Baxter Oncology GmbH) part 1
Y2eb6	COVID-19 Vaccine Novavax (adj) 5mcg/0.5ml dose susp for inj multidose vials (Baxter Oncology GmbH) part 2
Y2ed4	eConsult referral to Cardiology Service
Y2ed5	eConsult referral to Renal Service
Y2ed8	eConsult referral to MSK / Orthopaedic Service
Y2edb	eConsult referral to Rheumatology Service
Y2ee0	eConsult referral to Urology Service
Y2efc	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) protection maintenance course declined
Y2f27	Fluad Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)
Y2f2d	Provision of steroid emergency card not indicated
Y2f2e	Provision of steroid emergency card
Y2f2f	Has steroid emergency card
Y2f30	Referral for provision of steroid emergency card
Y2f39	Unable to automatically file a third-party immunisation message
Y3002	Waterlow Continence
Y3005	Waterlow Medication
Y3012	Redness of tissue damage present
Y3013	Information leaflet given: Pelvic floor exercises
Y3015	Information leaflet given: NHS direct contact number
Y3018	Under care of optician
Y3019	Urine pH
Y3020	OTC analgesia product
Y3021	OTC health food
Y3022	Child has out grown asthma
Y3023	Deed of name change
Y3026	Carer assessment applies to
Y3027	Location of hazard or risk
Y3028	Hazard or risk identified
Y3029	Patients perception of current problem
Y3032	Needs to get out of bed at night
Y3033	Carers perception of current problem
Y3036	Alternative equipment
Y3040	Equipment secured
Y3044	New patients annual diabetic foot assessment
Y3045	Annual review of diabetic foot assessment
Y3046	Seen by private state registered podiatry service
Y3047	Skin condition right foot normal
Y3048	Skin condition left foot normal
Y3049	Skin condition right foot atrophic
Y3050	Skin condition left foot atrophic
Y3051	Skin condition right foot oedematous
Y3052	Skin condition left foot oedematous
Y3053	Skin condition right foot cynotic
Y3054	Skin condition left foot cynotic
Y3055	Date chiropody appointment required
Y3056	Chiropody appointment at community chiropody
Y3057	Chiropody appointment at hospital podiatry
Y3058	Chiropody appointment for nail care
Y3059	Chiropody appointment for corns & callus
Y3060	Chiropody appointment for ulceration
Y3061	Chiropody appointment for other
Y3062	Emollients not used
Y3064	Ischaemic pain - walking and at night
Y3065	Abdominal surgery
Y3066	Blister of wound
Y3067	Undermining of wound
Y3069	Wound Bed Description: Yellow
Y3070	Orthopaedic surgery
Y3071	Neurological surgery
Y3072	Adult male
Y3073	Adult female
Y3074	Growth of pigmented skin lesion
Y3075	Inflammatory response of pigmented skin lesion
Y3076	Other professionals involved
Y3080	Referral to other agency
Y3081	Suspected melanoma
Y3082	Other surgery
Y3084	Fair skin/poor tanning
Y3085	Prolonged U.V. exposure
Y3086	Suspected squamous cell carcinoma
Y3088	Driving licence class 1
Y3089	Driving licence class 2
Y3090	Urological cystitis
Y3091	Urological enlarged prostate
Y3092	Urological TURP
Y3093	Urological tumour
Y3098	Coping
Y3099	Other psychological details
Y3100	Lives with
Y3101	Carers involved
Y3102	Problem interferes with social activity
Y3103	Problem causes sexual dysfunction
Y3104	Chair/Bed bound
Y3109	Toilet aid needed (specify)
Y3111	Onset of symptoms 0 to 6 months ago
Y3112	Onset of symptoms up to 12 months ago
Y3113	Onset of symptoms up to 2 years ago
Y3114	Onset of symptoms over 2 years ago
Y3115	Patients condition stable
Y3116	Voicing dysuria symptoms
Y3117	Voicing haematuria symptoms
Y3118	Voicing nocturia symptoms
Y3119	Frequency of symptoms during the day
Y3120	Frequency of symptoms during the night
Y3121	Uses laxatives
Y3122	Does not use laxatives
Y3123	Joint parental responsibility
Y3124	Does not have control of bowels
Y3125	Suffers urgency with bowels
Y3126	Does not suffer urgency with bowels
Y3128	Sensation
Y3129	No sensation
Y3131	No prolapse
Y3145	Only child
Y3146	Always urgent when needs to pass urine
Y3147	Sometimes urgent when needs to pass urine
Y3148	Never urgent when needs to pass urine
Y3150	Sometimes wets if doesnt get to toilet immediately
Y3167	Always has hesitancy in passing urine
Y3168	Sometimes has hesitancy in passing urine
Y3169	Never has hesitancy in passing urine
Y3174	Sometimes passes small amounts of urine
Y3179	Always aware of urine leaking/dribbling
Y3180	Sometimes aware of urine leaking/dribbling
Y3183	Sometimes leaks after passing urine
Y3188	Continence diagnosis: Stress
Y3189	Continence diagnosis: Urge
Y3191	Continence diagnosis: Overflow/dribble
Y3193	Continence diagnosis: Faecal
Y3194	Continence diagnosis: Double
Y3195	Referral to continence advisor
Y3196	Identification of continence problem & treatment plan
Y3197	Fluid intake/output/frequency volume chart
Y3199	Fluids restricted
Y3203	Advised to see chiropodist
Y3207	Incontinent product
Y3210	Incontinence assessment outcome: Improved
Y3211	Incontinence assessment outcome: Managed
Y3212	Incontinence assessment outcome: Stable
Y3214	Post-void residual urine amount
Y3215	Pelvic floor assessment
Y3219	Pelvic floor treatments
Y3221	Incontinence pads
Y3222	No longer a carer
Y3223	Audio test tympanum (left)
Y3224	Audio test tympanum (right)
Y3225	Socio-economic status
Y3226	Higher managerial and professional occupations
Y3234	Routine occupations
Y3235	Never had paid employment/long-term unemployment
Y3236	Other spontaneous cephalic
Y3237	No abnormalities
Y3239	Abnormalities NOS
Y3249	Driver injured in non-traffic accident
Y3254	Child examination: Enuresis
Y3256	Vision treatment
Y3261	Vision treatment - Advise see optician
Y3262	Vision treatment - Attending optician
Y3270	Audio referral
Y3273	Audio referral from: Community audiology
Y3274	Audio referral to: Community audiology
Y3275	Audio referral from: General practitioner
Y3279	Audio referral from: Other agency
Y3280	Audio referral to: Other agency
Y3286	Audio referral to: Speech & language therapist
Y3290	Hydrocele &/or spermatocele
Y3291	Hypospadias NOS
Y3292	No jaundice
Y3293	Malabsorption due to intolerance NEC
Y3295	Other atopic dermatitis
Y3298	Other congenital malformations of the limb(s)
Y3299	Partial epilepsy
Y3306	Scoliosis NOS
Y3307	Symptoms involving respiratory system and other chest symptoms
Y3309	Umbilical hernia without obstruction or gangrene
Y3310	Unilat or unspec inguin hernia without obstruct or gangrene
Y3311	Unspecified cleft palate with cleft lip, unilateral
Y3312	Ventral hernia without obstruction or gangrene
Y3315	Vitamin K given oral
Y3316	O/E - visual acuity with glasses both
Y3317	O/E - visual acuity with glasses left
Y3318	O/E - visual acuity with glasses right
Y3319	O/E - visual acuity without glasses both
Y3320	O/E - visual acuity without glasses left
Y3321	O/E - visual acuity without glasses right
Y3324	Urine sample requested by hospital
Y3325	Crusting/non-healing lesion
Y3326	Unspecified fall, occurrence outside
Y3327	Abnormalities of gait and mobility
Y3328	Unsteady carrying food/drink
Y3341	Child concern
Y3343	Number of past admissions due to fall
Y3344	Referral from accident and emergency notification
Y3345	Referral from hospital letter
Y3346	Referral from ambulance service
Y3347	Referral from home care
Y3348	Referral from GP out of hours
Y3349	Referral from fire service
Y3351	Number of falls in last 12 months
Y3354	Fall - Help summoned
Y3355	Able to get off floor
Y3356	Unable to get off floor
Y3359	Previous annual falls assessments
Y3360	Number of falls within 3 months after initial contact
Y3362	Occupational therapy assessment
Y3363	Home care assessment
Y3367	Confidence scale score
Y3368	Person benefited from intervention
Y3377	Responsible health professional
Y3378	Patient job title
Y3379	Special requirements
Y3383	Equipment requested
Y3384	Reasons for equipment request
Y3386	Core entrant int exam
Y3400	Revaxis 3
Y3401	Discharged from hospital/residential care
Y3403	Risk assessment completed
Y3404	Care plan produced for client
Y3405	Carers assessment offered
Y3407	Property owned by
Y3409	Nature of difficulty
Y3414	No dependents
Y3415	Disabled
Y3416	Not disabled
Y3417	Revaxis 1
Y3418	Revaxis 2
Y3424	Transfer moved in
Y3425	Transfer moved out
Y3426	Transferred to hospital N
Y3439	Other cerebellar ataxia
Y3440	Acute with perforation
Y3461	Severe hypo
Y3464	Jaundice NOS
Y3467	Unspecified disorder of eye movements
Y3483	Haemolytic disease of foetus and newborn NOS
Y3486	Congenital deformity of hand
Y3494	Cardiopulmonary resuscitation appropriate
Y3495	Cardiopulmonary resuscitation not appropriate
Y3496	Patients involvement in decision making
Y3498	Send copies of medical letters to carer
Y3501	Already receiving attendance allowance / DLA
Y3502	Allowance / DLA applied for
Y3503	Allowance / DLA not appropriate
Y3505	Services involved
Y3506	Impact of illness
Y3507	Carer needs and support plan
Y3510	Refuses retinopathy monitoring
Y3511	Refuses neuropathy monitoring
Y3512	Near patient testing ES - level 1
Y3513	Near patient testing ES - level 2
Y3514	Near patient testing ES - level 3
Y3515	Near patient testing ES - level 4
Y3517	History of foot ulcer
Y3518	Foot ulcer present
Y3519	Never had foot ulcers
Y3524	Date of departure
Y3525	Destination(s)
Y3526	Duration of stay
Y3527	Type of holiday
Y3528	Accommodation
Y3529	High risk activities
Y3530	Feels faint when given injection
Y3532	Adverse reaction to Hepatitis A 1st or Booster vaccine
Y3533	Adverse reaction to Hepatitis B 1st, 2nd, 3rd or Booster vaccine
Y3535	Previous/Current medical history
Y3536	Current health problems
Y3537	Current medication
Y3538	Steroids taken
Y3539	Oral contraception taken
Y3540	Medical insurance arranged
Y3541	Recommended vaccine: Tetanus
Y3542	Recommended vaccine: Diphtheria
Y3543	Recommended vaccine: Polio
Y3544	Recommended vaccine: Typhoid
Y3545	Recommended vaccine: Hepatitis A
Y3546	Recommended vaccine: Hepatitis B
Y3547	Recommended vaccine: Meningitis
Y3548	Recommended vaccine: Yellow fever
Y3549	Recommended vaccine: Rabies
Y3550	Other recommended vaccine
Y3551	Malaria advice given
Y3552	Malaria leaflet given
Y3553	Malaria chemoprophylaxis advised
Y3554	Recommended dose
Y3555	Tablets recommended: Malarone
Y3556	Tablets recommended: Mefloquine
Y3557	Tablets recommended: Doxycycline
Y3558	Tablets recommended: Chloroquine
Y3559	Tablets recommended: Proguanil
Y3560	Travel record card given
Y3561	Comments/Additional vaccines
Y3562	Smear consent given
Y3563	Smear information leaflet given
Y3568	Pre-op assessment
Y3569	Blood pressure monitoring for consultant
Y3570	Child 6-8 week examination
Y3579	Diabetic review
Y3580	Booking of patient transport (non urgent)
Y3591	Outcome of bed rail risk assessment
Y3596	Speciality of occupational therapist
Y3600	Other comments regarding eyes
Y3602	District nurse to check injection site: injection device used
Y3603	District nurse to check injection site: size of needle used
Y3607	Other comments regarding injection sites
Y3609	District nurse to test urine
Y3610	Other comments regarding glucose
Y3611	Blood glucose check: frequency
Y3612	Independent in diabetic management
Y3613	Carers involved in diabetic management
Y3614	Information leaflet given: testing your own blood sugar
Y3615	Blood test: other
Y3616	Other comments regarding diabetic management
Y3617	Doppler studies not completed but arranged
Y3618	Information leaflet given: footwear/care
Y3622	Advised about footwear
Y3623	Cardiac disease monitoring TIA
Y3624	Next visit arranged
Y3625	Cardiac disease monitoring CVA
Y3626	Cardiac disease monitoring Angina
Y3627	Audio test satisfactory
Y3636	Family member other substance misuse
Y3637	Family member not interested in stopping smoking
Y3642	Genitalia
Y3644	Left ear: clear response
Y3645	Left ear: no clear response
Y3648	Right ear: clear response
Y3649	Right ear: no clear response
Y3652	Skin colour
Y3653	Exudate: serious
Y3654	Exudate: bleeding
Y3655	Exudate: purulent
Y3656	H/O Carcinoma of breast
Y3657	H/O: Ischaemic heart disease
Y3658	Form to be sent to
Y3694	Gammaglobulin
Y3700	7 month hearing exam
Y3702	Exudate: none
Y3709	Heaf: scar present
Y3710	Corn site
Y3711	Callus site
Y3713	Imported summary notes
Y3714	Fungal infection of feet
Y3715	Fungal infection of nails
Y3732	Chicken pox vaccine
Y3743	Care plan not produced for client
Y3744	Carers assessment not offered
Y3755	No Ischaemic pain: right foot
Y3756	No Ischaemic pain: left foot
Y3757	Information leaflet given: Risk
Y3758	Referred to GP
Y3759	Referred to podiatry
Y3761	Patient appears to be average weight
Y3762	Patient appears to be overweight
Y3763	Patient appears to be obese
Y3764	Weight leaflet given
Y3767	Information given re sick day rules
Y3768	Fluids not restricted
Y3770	Rabies reinforcing vaccination
Y3771	Social worker assigned
Y3772	Agreed glycemic goals
Y3776	Feeding: Solids
Y3779	Td/IPV
Y3782	Clear response - no follow up required
Y3786	Incomplete - appointment missed
Y3787	Incomplete - lost contact
Y3790	Incomplete - declined screen
Y3796	Twinrix Adult Reinforcing
Y3808	Patient undecided (Pallative Care)
Y3821	Enzira Inactivated Influenza Vaccine (Split Virion) (CHIRON/WYETH), Part 1
Y3823	Cslgen Inactivated Influenza Vaccine (Split Virion) (CHIRON)
Y3827	Site of Metastases
Y3828	Congenital hypothyroidism test positive
Y3829	Congenital hypothyroidism test negative
Y3830	Second Pneumococcal vaccination
Y3835	Second Influenza vaccination
Y3841	Type 2 colour vision test - Pass
Y3842	Type 2 colour vision test - Satisfactory
Y3847	Colour vision test - Satisfactory
Y3856	Snellen distance vision test - Pass
Y3867	Sickle cell carrier - Probable Haemo Variant
Y3868	Delivery booked with Consultant in Hospital
Y3869	Delivered at Home
Y3870	Delivered at other
Y3872	Delivery with consultant in hospital
Y3874	Mother has Diabetes
Y3876	Capillary haemoglobin
Y3880	Enzira Inactivated Influenza Vaccine (Split Virion) (CHIRON/WYETH), Booster
Y3881	Inactivated Influenza Vaccine (Split Virion) BP (Aventis Pasteur MSD), Booster
Y3882	Mother Discharged
Y3883	Non Elective Caesarean Section
Y3884	Neonatal Discharge
Y3886	Walking Gait
